name,state,latitude,longitude,famous_for,river,pyq,my_notes
Kanchenjunga,Sikkim,27.7025,88.1475,Highest Peak in India,None,Yes,
K2,POK,35.8808,76.5158,Second Highest Peak,None,Yes,
Nanda Devi,Uttarakhand,30.3752,79.9700,Biosphere Reserve,Rishi Ganga,Yes,
Anamudi,Kerala,10.1667,77.0667,Highest Peak in South India,None,Yes,
Guru Shikhar,Rajasthan,24.6500,72.7833,Highest Aravalli Peak,None,Yes,
Doddabetta,Tamil Nadu,11.4064,76.7350,Nilgiri Hills,None,No,
Shillong Peak,Meghalaya,25.5788,91.8933,Highest Meghalaya Peak,None,No,
Mount Abu,Rajasthan,24.5926,72.7156,Only Hill Station in Rajasthan,None,Yes,
Kangto,Arunachal Pradesh,28.3600,92.4600,Eastern Himalayas,None,No,
Mullayanagiri,Karnataka,13.3900,75.7200,Highest Karnataka Peak,None,No,
