name,state,latitude,longitude,famous_for,river,pyq,my_notes
Kaziranga,Assam,26.5775,93.1711,One Horned Rhino,Brahmaputra,Yes,
Jim Corbett,Uttarakhand,29.5300,78.7747,Project Tiger,Ramganga,Yes,
Gir,Gujarat,21.1240,70.8241,Asiatic Lion,Hiran,Yes,
Sundarbans,West Bengal,21.9497,89.1833,Mangrove Forest,Ganga Delta,Yes,
Bandipur,Karnataka,11.6545,76.6306,Elephants,Kabini,Yes,
Kanha,Madhya Pradesh,22.3344,80.6115,Barasingha,Banjar,Yes,
Ranthambore,Rajasthan,26.0173,76.5026,Tigers,Banas,Yes,
Periyar,Kerala,9.4625,77.2360,Elephants,Periyar,Yes,
Keoladeo,Gujarat,27.1591,77.5218,Birds,Gambhir,Yes,
Hemis,Ladakh,33.7290,77.5510,Snow Leopard,Indus,No,
Namdapha,Arunachal Pradesh,27.5167,96.3833,Biodiversity,Noa-Dihing,Yes,
Silent Valley,Kerala,11.0833,76.4333,Tropical Rainforest,Kunthipuzha,Yes,
Great Himalayan,Himachal Pradesh,31.8000,77.5333,Western Himalayas,Tirthan,Yes,
Pench,Madhya Pradesh,21.7587,79.3022,Mowgli Inspiration,Pench,No,
Simlipal,Odisha,21.9497,86.3498,Tiger Reserve,Budhabalanga,Yes,
Nanda Devi,Uttarakhand,30.3752,79.9700,Biosphere Reserve,Rishi Ganga,Yes,
Valley of Flowers,Uttarakhand,30.7280,79.6050,Alpine Flowers,Pushpawati,Yes,
Manas,Assam,26.6595,91.0011,Tiger + Elephant Reserve,Manas,Yes,
Desert National Park,Rajasthan,26.8598,70.5290,Great Indian Bustard,Luni,Yes,
Dachigam,Jammu & Kashmir,34.1200,74.9500,Hangul Deer,Dagwan,No,
