name,state,latitude,longitude,famous_for,river,pyq,my_notes
Chilika Lake,Odisha,19.8450,85.4788,Brackish Water Lagoon,None,Yes,
Loktak Lake,Manipur,24.5000,93.8000,Floating Phumdis,None,Yes,
Wular Lake,Jammu & Kashmir,34.3439,74.6349,Largest Freshwater Lake,Jhelum,Yes,
Keoladeo Ghana,Rajasthan,27.1591,77.5218,Bird Sanctuary,Gambhir,Yes,
Sambhar Lake,Rajasthan,26.9088,75.1919,Inland Salt Lake,None,Yes,
Bhitarkanika,Odisha,20.7333,86.9167,Mangroves,Brahmani,Yes,
Ashtamudi Wetland,Kerala,8.9500,76.6167,Backwaters,None,No,
Vembanad Wetland,Kerala,9.6000,76.4167,Longest Lake in India,None,Yes,
Harike Wetland,Punjab,31.1700,75.1200,Indus Flyway,Sutlej-Beas,Yes,
Kolleru Lake,Andhra Pradesh,16.6167,81.2333,Freshwater Lake,None,Yes,
Nalsarovar,Gujarat,22.8000,72.0500,Bird Habitat,None,No,
Deepor Beel,Assam,26.1000,91.6500,Floodplain Wetland,Brahmaputra,Yes,
Ropar Wetland,Punjab,31.0167,76.5333,Man-made Reservoir,Sutlej,No,
Tsomoriri,Ladakh,32.9000,78.3000,High Altitude Lake,None,Yes,
Sasthamkotta,Kerala,9.0333,76.6167,Freshwater Lake,None,No,
Pala Wetland,Mizoram,22.5000,92.9500,Natural Lake,None,No,
