name,state,latitude,longitude,famous_for,river,pyq,my_notes
Ganga,Uttarakhand,25.3176,82.9739,Sacred River,None,Yes,
Brahmaputra,Assam,26.2006,92.9376,Transboundary River,None,Yes,
Godavari,Maharashtra,19.9975,73.7898,Second Longest River,None,Yes,
Krishna,Maharashtra,17.3850,78.4867,Peninsular River,None,Yes,
Narmada,Madhya Pradesh,22.7196,75.8577,Rift Valley River,None,Yes,
Kaveri,Karnataka,12.2958,76.6394,Cauvery Dispute,None,Yes,
Mahanadi,Chhattisgarh,21.2514,81.6296,Hirakud Dam,None,Yes,
Teesta,Sikkim,27.3389,88.6065,India-Bangladesh Water Issue,None,Yes,
Indus,Ladakh,34.1526,77.5771,Origin in Tibet,None,Yes,
Yamuna,Uttarakhand,30.9940,78.9398,Tributary of Ganga,None,Yes,
